PDS_VERSION_ID         = PDS3
RECORD_TYPE            = STREAM
OBJECT                 = TEXT
  PUBLICATION_DATE     = 2014-02-19
  INTERCHANGE_FORMAT   = ASCII
  NOTE                 = "NAC hot pixel file for epoch 2004.3."
END_OBJECT             = TEXT
END

NAC hot pixel list. Lines 1 and 2 are column headings giving exposure time 
(sec) and gain state (e-/DN), respectively, of source dark images. Starting 
on line 3, first two columns indicate x and y value of hot pixel; columns 3 
through N-1 give median electron counts for each exposure bin, and last (Nth) 
column contains either the index of the exposure bin where saturation first 
occurs, or -1 if no saturation.

\begindata
      755.000      324.000      52.0355      74.3172      94.0171      187.051      230.977      524.281      754.174      761.127      1604.92      4262.03      5166.20      6136.31      8945.39      19248.5      34196.1      57367.6      123477.      16.0000
      173.000      726.000      55.3360      97.1011      122.137      261.153      272.668      620.182      862.810      1516.80      1791.24      4837.61      5981.56      7070.09      10382.7      21764.3      37926.8      60557.1      123472.      16.0000
      417.000      152.000      36.2398      68.8248      92.7470      210.763      251.057      652.314      912.639      1613.99      1962.09      4973.17      6211.32      7319.42      10524.5      21933.8      37655.5      59935.7      123483.      16.0000
      757.000      317.000      47.0422      65.7232      101.523      239.013      268.299      631.707      914.115      1675.72      1981.98      5097.49      6232.63      7402.45      10812.9      22214.2      38192.5      60189.1      123478.      16.0000
      210.000      160.000      42.6228      63.8325      108.430      250.822      291.518      710.360      1021.91      1844.62      2156.07      5398.21      6674.44      7911.78      11384.9      23014.6      39491.7      60340.7      123481.      16.0000
      624.000      893.000      84.7101      98.9781      110.912      242.939      259.388      555.647      765.038      1435.92      1677.47      4305.48      5166.78      6263.76      9268.78      19687.4      34658.0      56300.3      123476.      16.0000
      207.000      732.000      78.3921      81.9910      111.505      228.745      74.7824      563.874      821.048      271.841      1744.78      4605.66      5581.44      751.081      9937.52      20688.3      35935.6      57017.6      123474.      16.0000
      774.000      911.000      83.4996      93.2493      121.125      232.187      248.739      547.391      778.341      1426.07      1631.75      4281.05      5373.76      6324.83      9409.45      19533.1      34325.3      54942.4      123481.      16.0000
      87.0000      156.000      41.6633      58.0061      80.6534      179.297      205.693      545.576      729.107      1267.07      1519.78      3938.76      4794.11      5712.91      8402.18      17532.6      31476.2      51684.4      123484.      16.0000
      462.000      84.0000      38.4266      41.1387      71.9537      168.929      222.722      512.516      719.116      1443.08      1546.40      3955.52      5412.40      6472.77      8379.74      17647.4      31275.8      51414.1      123493.      16.0000
      43.0000      578.000      57.3398      82.6683      107.250      204.685      213.515      510.962      698.033      999.282      1426.72      3812.45      4401.00      5300.59      8315.17      17557.3      31753.4      51688.1      123495.      16.0000
      213.000      482.000      60.1351      76.7523      79.7819      141.268      211.241      406.878      578.192      1200.16      1229.94      3152.56      4564.53      5535.83      6805.30      14856.5      27232.2      45080.3      123466.      16.0000
      64.0000      477.000      51.3855      78.6957      94.2160      172.055      231.199      395.452      548.294      1301.60      1125.16      2866.32      4953.43      5911.41      6239.88      13331.0      24246.2      41227.6      121667.     -1.00000
      723.000      909.000      77.4754      79.2200      64.8932      105.038      106.021      153.146      229.963      386.364      448.956      985.002      1174.86      1368.81      1968.28      4142.57      7382.62      12641.7      121654.     -1.00000
      191.000      582.000      68.6082      68.9110      101.560      185.368      232.079      511.507      712.961      1274.52      1483.27      3878.60      4805.01      5699.16      8493.54      17825.8      31372.4      50904.8      120758.     -1.00000
      795.000      80.0000      24.0759      2.61353      11.7868      20.8661      25.5127      43.2575      31.3145      1008.64      47.1686      113.986      115.526      349.412      142.304      239.328      293.365      342.520      385.914     -1.00000
      500.000      704.000      71.7391      66.3415      96.6702      186.743      188.744      429.392      582.119      1041.60      1183.69      3233.25      4012.43      4786.64      7057.77      15184.0      27356.8      45186.6      120317.     -1.00000
      744.000      647.000      53.0575      85.7833      92.3177      192.032      259.663      478.084      626.477      1417.94      1330.28      3435.21      4770.13      6184.20      7423.32      15767.8      27909.7      45945.3      118065.     -1.00000
      247.000      466.000      54.5595      69.4550      86.6745      158.056      163.918      395.852      521.610      906.202      1117.81      2747.23      3342.36      3956.28      5936.82      11900.5      23028.6      38928.9      114519.     -1.00000
