Time,Intensity,Incidence,Polarization Angle,Wavelength
2004-05-25 12:59:38.896000+00:00,0.014818729,95.152500788559,IR,938
2004-05-25 13:00:59.899000+00:00,0.03269564,95.144758843836,IR,938
2004-05-25 13:03:04.902000+00:00,0.015416813,95.132815908421,IR,938
2004-05-25 13:14:25.949000+00:00,0.017179059,95.06784081913,IR,750
2004-05-25 13:04:36.910000+00:00,0.01119717,95.124028732384,IR,928
2004-05-26 02:56:39.569000+00:00,0.0039368984,90.810549900412,IR,938
2004-05-26 02:58:00.572000+00:00,0.0044766357,90.804338825972,IR,938
2004-05-26 03:00:05.575000+00:00,0.0062328293,90.794759283523,IR,938
2004-05-26 03:01:37.583000+00:00,0.0026191575,90.787712425888,IR,928
2004-05-26 03:11:26.622000+00:00,0.0016518645,90.742681197642,IR,750
2004-05-26 05:26:39.510000+00:00,0.011714281,90.137222276847,IR,938
2004-05-26 05:28:00.514000+00:00,0.018617507,90.131317140451,IR,938
2004-05-26 05:30:05.517000+00:00,0.02868513,90.122209993451,IR,938
2004-05-26 05:31:37.524000+00:00,0.0043263836,90.115511039478,IR,928
2004-05-26 05:41:26.563000+00:00,0.00088465906,90.072709166571,IR,750
2004-05-27 07:23:38.902000+00:00,0.0017311973,85.352915008967,IR,938
2004-05-27 07:24:59.905000+00:00,0.0024737858,85.350652278839,IR,938
2004-05-27 07:27:04.908000+00:00,0.0023812889,85.347167215446,IR,938
2004-05-27 07:28:36.916000+00:00,0.00024485873,85.344607288299,IR,928
2004-05-27 07:38:25.955000+00:00,0.00049164135,85.328323862865,IR,750
2004-05-27 09:53:38.843000+00:00,0.0017257459,85.122649802339,IR,938
2004-05-27 09:54:59.847000+00:00,0.0019400291,85.120771649484,IR,938
2004-05-27 09:57:04.850000+00:00,0.0012839887,85.117880164621,IR,938
2004-05-27 09:58:36.857000+00:00,0.00027577922,85.115757213678,IR,928
2004-05-27 10:08:25.896000+00:00,0.00055607682,85.102272216259,IR,750
2004-05-27 12:23:38.785000+00:00,0.0021504008,84.935312770815,IR,938
2004-05-27 12:24:59.788000+00:00,0.0023058325,84.9338226987,IR,938
2004-05-27 12:27:04.791000+00:00,0.0023336771,84.931530115135,IR,938
2005-05-05 17:23:13.307000+00:00,1.7882636e-05,140.48091828798,120,343
2005-05-05 17:24:25.306000+00:00,9.246837e-05,140.48418474771,60,343
2005-05-05 17:25:50.314000+00:00,3.7484966e-05,140.48803606132,0,343
2005-05-05 17:27:08.317000+00:00,9.2237955e-05,140.49156492222,0,441
2005-05-05 17:28:22.316000+00:00,0.00015552006,140.49490813871,60,441
2005-05-05 17:29:34.316000+00:00,0.00020913636,140.49815683221,120,441
2005-05-05 17:30:17.910000+00:00,9.7877972e-05,140.50012180729,120,569
2005-05-05 17:30:50.910000+00:00,0.00011167578,140.50160825107,60,569
2005-05-05 17:31:23.719000+00:00,3.5974939e-05,140.50308522631,0,569
2005-05-05 17:32:09.523000+00:00,0.00017985441,140.5051457593,0,619
2005-05-05 17:32:50.430000+00:00,0.00022201007,140.50698457465,60,619
2005-05-05 17:33:30.430000+00:00,0.00030134304,140.5087813219,120,619
2005-05-05 17:35:38.190000+00:00,0.00018103771,140.51451153763,IR,750
2005-05-05 17:39:37.281000+00:00,3.2653112e-05,140.5251999128,IR,727
2005-05-05 17:41:21.288000+00:00,0.00013693419,140.52983513716,IR,938
2006-03-20 14:36:01.386000+00:00,0.0001382045,134.01291883562,120,343
2006-03-20 14:36:33.386000+00:00,0.00012738914,134.01535688798,60,343
2006-03-20 14:37:11.893000+00:00,0.00021228071,134.01828987859,0,343
2006-03-20 14:37:59.397000+00:00,0.00036899722,134.02190690918,0,441
2006-03-20 14:38:55.396000+00:00,0.0001413288,134.02616900164,60,441
2006-03-20 14:39:51.396000+00:00,0.00028222881,134.03042926396,120,441
2006-03-20 14:40:23.650000+00:00,0.00025239686,134.03288215749,120,569
2006-03-20 14:40:56.650000+00:00,0.00015172086,134.03539112893,60,569
2006-03-20 14:41:35.803000+00:00,0.00025756611,134.03836705024,0,569
2006-03-20 14:42:22.011000+00:00,0.00059420778,134.04187800436,0,619
2006-03-20 14:43:10.010000+00:00,0.00038119798,134.04552366527,60,619
2006-03-20 14:48:58.428000+00:00,0.00060019264,134.07194493397,IR,727
2006-03-20 14:43:58.010000+00:00,0.00048928696,134.04916799939,120,619
2006-03-20 14:46:14.413000+00:00,0.00058207021,134.05951654925,IR,750
2006-03-20 14:50:04.427000+00:00,0.00071995583,134.07694143744,IR,938
2006-07-05 01:49:44.718000+00:00,0.029215375,81.362468372247,IR,727
2006-07-05 01:51:54.725000+00:00,0.03263874,81.371565447141,IR,938
2006-12-25 15:08:01.152000+00:00,0.012975799,75.159682260543,120,343
2006-12-25 15:10:01.151000+00:00,0.0121968,75.155874939363,60,343
2006-12-25 15:12:01.150000+00:00,0.0069539743,75.152075863974,0,343
