Time,Intensity,Emission,Polarization Angle,Wavelength
2004-05-25 12:59:38.896000+00:00,0.014818729,77.045801999462,IR,938
2004-05-25 13:00:59.899000+00:00,0.03269564,77.048933877069,IR,938
2004-05-25 13:03:04.902000+00:00,0.015416813,77.053773408499,IR,938
2004-05-25 13:14:25.949000+00:00,0.017179059,77.080277786652,IR,750
2004-05-25 13:04:36.910000+00:00,0.01119717,77.057340528061,IR,928
2004-05-26 02:56:39.569000+00:00,0.0039368984,79.597127766174,IR,938
2004-05-26 02:58:00.572000+00:00,0.0044766357,79.60219221739,IR,938
2004-05-26 03:00:05.575000+00:00,0.0062328293,79.610013374512,IR,938
2004-05-26 03:01:37.583000+00:00,0.0026191575,79.615774564036,IR,928
2004-05-26 03:11:26.622000+00:00,0.0016518645,79.652747387763,IR,750
2004-05-26 05:26:39.510000+00:00,0.011714281,80.17759110623,IR,938
2004-05-26 05:28:00.514000+00:00,0.018617507,80.182977045651,IR,938
2004-05-26 05:30:05.517000+00:00,0.02868513,80.191294072889,IR,938
2004-05-26 05:31:37.524000+00:00,0.0043263836,80.197420067027,IR,928
2004-05-26 05:41:26.563000+00:00,0.00088465906,80.236726555491,IR,750
2004-05-27 07:23:38.902000+00:00,0.0017311973,88.106081761372,IR,938
2004-05-27 07:24:59.905000+00:00,0.0024737858,88.114285938006,IR,938
2004-05-27 07:27:04.908000+00:00,0.0023812889,88.126950497469,IR,938
2004-05-27 07:28:36.916000+00:00,0.00024485873,88.136275267627,IR,928
2004-05-27 07:38:25.955000+00:00,0.00049164135,88.196034386159,IR,750
2004-05-27 09:53:38.843000+00:00,0.0017257459,89.029788964108,IR,938
2004-05-27 09:54:59.847000+00:00,0.0019400291,89.038212777646,IR,938
2004-05-27 09:57:04.850000+00:00,0.0012839887,89.051215954414,IR,938
2004-05-27 09:58:36.857000+00:00,0.00027577922,89.06078973164,IR,928
2004-05-27 10:08:25.896000+00:00,0.00055607682,89.12214112029,IR,750
2004-05-27 12:23:38.785000+00:00,0.0021504008,89.977377496173,IR,938
2004-05-27 12:24:59.788000+00:00,0.0023058325,89.986011468849,IR,938
2004-05-27 12:27:04.791000+00:00,0.0023336771,89.999338957736,IR,938
2005-05-05 17:23:13.307000+00:00,1.7882636e-05,73.725554890617,120,343
2005-05-05 17:24:25.306000+00:00,9.246837e-05,73.727900317889,60,343
2005-05-05 17:25:50.314000+00:00,3.7484966e-05,73.730662677334,0,343
2005-05-05 17:27:08.317000+00:00,9.2237955e-05,73.733190891029,0,441
2005-05-05 17:28:22.316000+00:00,0.00015552006,73.735583569722,60,441
2005-05-05 17:29:34.316000+00:00,0.00020913636,73.737906236559,120,441
2005-05-05 17:30:17.910000+00:00,9.7877972e-05,73.739309971614,120,569
2005-05-05 17:30:50.910000+00:00,0.00011167578,73.740371287016,60,569
2005-05-05 17:31:23.719000+00:00,3.5974939e-05,73.741425357503,0,569
2005-05-05 17:32:09.523000+00:00,0.00017985441,73.742895087422,0,619
2005-05-05 17:32:50.430000+00:00,0.00022201007,73.744205876646,60,619
2005-05-05 17:33:30.430000+00:00,0.00030134304,73.745485953299,120,619
2005-05-05 17:35:38.190000+00:00,0.00018103771,73.749563604219,IR,750
2005-05-05 17:39:37.281000+00:00,3.2653112e-05,73.757149965511,IR,727
2005-05-05 17:41:21.288000+00:00,0.00013693419,73.760432007364,IR,938
2006-03-20 14:36:01.386000+00:00,0.0001382045,66.292962976017,120,343
2006-03-20 14:36:33.386000+00:00,0.00012738914,66.293599907946,60,343
2006-03-20 14:37:11.893000+00:00,0.00021228071,66.294362730527,0,343
2006-03-20 14:37:59.397000+00:00,0.00036899722,66.295298320977,0,441
2006-03-20 14:38:55.396000+00:00,0.0001413288,66.296393460503,60,441
2006-03-20 14:39:51.396000+00:00,0.00028222881,66.297480209428,120,441
2006-03-20 14:40:23.650000+00:00,0.00025239686,66.298102315574,120,569
2006-03-20 14:40:56.650000+00:00,0.00015172086,66.298735915291,60,569
2006-03-20 14:41:35.803000+00:00,0.00025756611,66.299483850651,0,569
2006-03-20 14:42:22.011000+00:00,0.00059420778,66.300361242398,0,619
2006-03-20 14:43:10.010000+00:00,0.00038119798,66.301266540955,60,619
2006-03-20 14:48:58.428000+00:00,0.00060019264,66.307650840443,IR,727
2006-03-20 14:43:58.010000+00:00,0.00048928696,66.302165633131,120,619
2006-03-20 14:46:14.413000+00:00,0.00058207021,66.304686552061,IR,750
2006-03-20 14:50:04.427000+00:00,0.00071995583,66.308822963301,IR,938
2006-07-05 01:49:44.718000+00:00,0.029215375,89.425686508338,IR,727
2006-07-05 01:51:54.725000+00:00,0.03263874,89.412822901625,IR,938
2006-12-25 15:08:01.152000+00:00,0.012975799,68.402574350356,120,343
