Time,Intensity,SubSolarAzimuth,Polarization Angle,Wavelength
2006-12-25 15:16:37.560000+00:00,0.045617189,63.756429823036,120,569
2006-12-25 15:17:10.560000+00:00,0.05290246,63.770998479155,60,569
2006-12-25 15:17:43.560000+00:00,0.029316893,63.785564015128,0,569
2006-12-25 15:18:29.363000+00:00,0.042365897,63.805791625907,0,619
2006-12-25 15:19:17.363000+00:00,0.066558123,63.826996310768,60,619
2006-12-25 15:20:05.363000+00:00,0.05842508,63.84820040584,120,619
2006-12-25 15:22:25.134000+00:00,0.087225288,63.909980821698,IR,750
2006-12-25 15:27:37.125000+00:00,0.059938379,64.048070842784,IR,727
2006-12-25 15:29:47.131000+00:00,0.1003914,64.10568840789,IR,938
2007-12-23 09:04:54.835000+00:00,0.0010721104,350.43766763629,120,343
2007-12-23 09:06:38.835000+00:00,0.0012182962,350.45133069769,60,343
2007-03-12 22:39:25.757000+00:00,0.00066960696,11.92897058266,120,619
2007-12-23 09:10:06.833000+00:00,0.0011433725,350.47863906255,0,441
2007-12-23 09:08:22.834000+00:00,0.00089102372,350.46497224351,0,343
2007-03-29 00:28:02.048000+00:00,0.0028150668,13.094890870668,120,343
2007-03-29 00:29:14.048000+00:00,0.0029085577,13.10427524073,60,343
2007-12-23 09:11:50.832000+00:00,0.0014653106,350.49228200871,60,441
2007-12-23 09:13:34.832000+00:00,0.0014357208,350.5059187139,120,441
2007-03-29 00:30:26.047000+00:00,0.0022543205,13.113640944054,0,343
2007-03-29 00:32:01.055000+00:00,0.0034915176,13.126043267347,0,441
2007-12-23 09:15:13.839000+00:00,0.0016649228,350.47713689997,60,569
2007-03-29 00:33:45.054000+00:00,0.0045069535,13.139597170114,60,441
2007-03-29 00:35:29.053000+00:00,0.004348977,13.153153342772,120,441
2007-03-29 00:36:13.157000+00:00,0.0096734595,13.107168148554,120,569
2007-12-23 09:14:18.839000+00:00,0.0014011844,350.46993065544,120,569
2007-03-29 00:36:46.157000+00:00,0.0091395378,13.111461893886,60,569
2007-12-23 09:16:08.839000+00:00,0.0015051874,350.48433766007,0,569
2007-03-29 00:37:19.057000+00:00,0.0083439108,13.11573790221,0,569
2007-03-29 00:38:03.060000+00:00,0.0097697135,13.121463164021,0,619
2007-12-23 09:17:15.742000+00:00,0.0020279964,350.4930992326,0,619
2007-03-29 00:38:51.960000+00:00,0.010652305,13.127827291419,60,619
2007-12-23 09:18:25.741000+00:00,0.0022817131,350.50226493691,60,619
2007-12-23 09:19:35.741000+00:00,0.0021225337,350.51142406078,120,619
2007-12-23 09:27:00.806000+00:00,0.002173984,350.56961303469,IR,727
2007-12-23 09:22:25.316000+00:00,0.0023508039,350.53360413947,IR,750
2008-01-08 16:35:19.874000+00:00,0.00071485766,354.11089944722,120,343
2007-12-23 09:28:54.806000+00:00,0.0032997793,350.58450591955,IR,938
2006-07-05 01:49:44.718000+00:00,0.029693248,141.82061421583,IR,727
2006-07-05 01:51:54.725000+00:00,0.032191988,141.85433606942,IR,938
2008-01-08 16:36:36.877000+00:00,0.0014865107,354.12022395243,60,343
2008-01-08 16:38:15.884000+00:00,0.0014726195,354.13219121369,0,343
2008-01-08 16:40:29.991000+00:00,0.0022901206,354.10580052333,120,569
2008-01-08 16:41:24.995000+00:00,0.0035526636,354.11244856916,60,569
2008-01-08 16:42:19.894000+00:00,0.0034259567,354.1190788666,0,569
2008-01-08 16:43:26.802000+00:00,0.0042312248,354.12716273825,0,619
2008-01-08 16:44:36.801000+00:00,0.0039513283,354.13561956824,60,619
2009-03-31 04:00:05.645000+00:00,0.004556471,356.18213332206,60,569
2008-01-08 16:45:46.801000+00:00,0.0030559972,354.14407053294,120,619
2011-05-12 09:42:43.795000+00:00,0.1422693,147.71351856833,60,750
2009-03-31 04:00:22.644000+00:00,0.0044388222,356.18409273209,0,569
2011-05-12 09:44:01.795000+00:00,0.14687894,147.73486410719,120,750
2009-03-31 04:01:15.452000+00:00,0.0022101644,356.19019439219,120,619
2008-01-08 16:48:35.400000+00:00,0.0080520594,354.1644207095,IR,750
2011-05-16 15:59:37.970000+00:00,0.011773305,200.92135689751,0,750
2009-03-31 04:01:47.452000+00:00,0.005608133,356.19389304786,60,619
2008-01-20 14:31:57.605000+00:00,0.00040722487,226.9967130824,120,343
2011-05-16 16:00:59.477000+00:00,0.020086145,200.93480841898,60,750
2009-03-31 04:02:19.451000+00:00,0.0056000636,356.19758343467,0,619
2009-03-31 04:03:16.159000+00:00,0.0018341655,356.20412211467,120,619
2011-05-16 16:02:15.976000+00:00,0.017242812,200.94743853267,120,750
2008-01-20 14:33:09.604000+00:00,0.00049386761,227.02623976228,60,343
2009-03-31 04:03:48.159000+00:00,0.0051144138,356.20782385664,60,619
2009-03-31 04:04:20.158000+00:00,0.0053725275,356.21151587764,0,619
2011-05-16 16:03:47.980000+00:00,0.015854258,200.96256975856,IR,750
2008-01-20 14:34:48.612000+00:00,0.00027330345,227.06691143238,0,343
2009-03-31 04:05:22.558000+00:00,0.0051958784,356.21868156793,120,750
2008-01-20 14:36:32.611000+00:00,0.00040419996,227.10961994736,0,441
2009-03-31 04:05:54.558000+00:00,0.0098393159,356.22237546013,60,750
2009-03-31 04:06:26.557000+00:00,0.010037879,356.2260690917,0,750
2011-12-26 08:46:59.154000+00:00,0.012170131,204.18613412865,60,750
2008-01-20 14:38:16.610000+00:00,0.00066547527,227.15240521829,60,441
2008-01-20 14:40:00.609000+00:00,0.00061414379,227.19523582432,120,441
2011-12-26 08:48:15.654000+00:00,0.015829461,204.1998338076,120,750
2009-03-31 04:07:30.557000+00:00,0.0027154423,356.23345615064,120,727
2012-01-08 01:02:25.224000+00:00,0.085228585,167.83965726756,0,750
2008-01-20 14:40:44.713000+00:00,0.00067303475,227.28820676137,120,569
2009-03-31 04:08:02.557000+00:00,0.0061770454,356.23714946286,60,727
2012-01-08 01:03:43.224000+00:00,0.088516727,167.85080409506,60,750
2008-01-20 14:41:39.713000+00:00,0.00066426222,227.31086536475,60,569
