Time,Intensity,SpacecraftAzimuth,Polarization Angle,Wavelength
2004-05-25 10:44:26.008000+00:00,0.026327383,119.54817754657,IR,750
2004-05-25 12:59:38.896000+00:00,0.014818729,122.55321979988,IR,938
2004-05-25 13:00:59.899000+00:00,0.03269564,122.58252485239,IR,938
2004-05-25 13:03:04.902000+00:00,0.015416813,122.62772101464,IR,938
2004-05-25 13:14:25.949000+00:00,0.017179059,122.87324661283,IR,750
2004-05-25 13:04:36.910000+00:00,0.01119717,122.66083031952,IR,928
2004-05-26 02:56:39.569000+00:00,0.0039368984,138.18413440354,IR,938
2004-05-26 02:58:00.572000+00:00,0.0044766357,138.20554425007,IR,938
2004-05-26 03:00:05.575000+00:00,0.0062328293,138.23856211359,IR,938
2004-05-26 03:01:37.583000+00:00,0.0026191575,138.26269934903,IR,928
2004-05-26 03:11:26.622000+00:00,0.0016518645,138.41784361869,IR,750
2004-05-26 05:26:39.510000+00:00,0.011714281,140.4970710575,IR,938
2004-05-26 05:28:00.514000+00:00,0.018617507,140.51729923053,IR,938
2004-05-26 05:30:05.517000+00:00,0.02868513,140.5484946169,IR,938
2004-05-26 05:31:37.524000+00:00,0.0043263836,140.57129296042,IR,928
2004-05-26 05:41:26.563000+00:00,0.00088465906,140.71787929552,IR,750
2004-05-27 07:23:38.902000+00:00,0.0017311973,158.55442206909,IR,938
2004-05-27 07:24:59.905000+00:00,0.0024737858,158.56666650781,IR,938
2004-05-27 07:27:04.908000+00:00,0.0023812889,158.58555371322,IR,938
2004-05-27 07:28:36.916000+00:00,0.00024485873,158.59933885272,IR,928
2004-05-27 07:38:25.955000+00:00,0.00049164135,158.68816967232,IR,750
2004-05-27 09:53:38.843000+00:00,0.0017257459,159.88980159615,IR,938
2004-05-27 09:54:59.847000+00:00,0.0019400291,159.90159824189,IR,938
2004-05-27 09:57:04.850000+00:00,0.0012839887,159.91979494423,IR,938
2004-05-27 09:58:36.857000+00:00,0.00027577922,159.93307598899,IR,928
2004-05-27 10:08:25.896000+00:00,0.00055607682,160.01866840718,IR,750
2004-05-27 12:23:38.785000+00:00,0.0021504008,161.1776983603,IR,938
2004-05-27 12:24:59.788000+00:00,0.0023058325,161.18908793171,IR,938
2004-05-27 12:27:04.791000+00:00,0.0023336771,161.20665736347,IR,938
2005-05-05 17:23:13.307000+00:00,1.7882636e-05,20.400381929161,120,343
2005-05-05 17:24:25.306000+00:00,9.246837e-05,20.401072274733,60,343
2005-05-05 17:25:50.314000+00:00,3.7484966e-05,20.401881422877,0,343
2005-05-05 17:27:08.317000+00:00,9.2237955e-05,20.402651440451,0,441
2005-05-05 17:28:22.316000+00:00,0.00015552006,20.403374965745,60,441
2005-05-05 17:29:34.316000+00:00,0.00020913636,20.404083306563,120,441
2005-05-05 17:30:17.910000+00:00,9.7877972e-05,20.40450643791,120,569
2005-05-05 17:30:50.910000+00:00,0.00011167578,20.404837107402,60,569
2005-05-05 17:31:23.719000+00:00,3.5974939e-05,20.405161063573,0,569
2005-05-05 17:32:09.523000+00:00,0.00017985441,20.405621739541,0,619
2005-05-05 17:32:50.430000+00:00,0.00022201007,20.406036459126,60,619
2005-05-05 17:33:30.430000+00:00,0.00030134304,20.406437207256,120,619
2005-05-05 17:35:38.190000+00:00,0.00018103771,20.407731908759,IR,750
2005-05-05 17:39:37.281000+00:00,3.2653112e-05,20.410204414556,IR,727
2005-05-05 17:41:21.288000+00:00,0.00013693419,20.411301007561,IR,938
2006-03-20 14:36:01.386000+00:00,0.0001382045,149.99800392699,120,343
2006-03-20 14:36:33.386000+00:00,0.00012738914,149.9998276845,60,343
2006-03-20 14:37:11.893000+00:00,0.00021228071,150.0020562965,0,343
