Time,Intensity,Phase,Polarization Angle,Wavelength
2006-12-25 15:16:37.560000+00:00,0.045617189,123.45009264555,120,569
2006-12-25 15:17:10.560000+00:00,0.05290246,123.44778155108,60,569
2006-12-25 15:17:43.560000+00:00,0.029316893,123.44547065853,0,569
2006-12-25 15:18:29.363000+00:00,0.042365897,123.44226354437,0,619
2006-12-25 15:19:17.363000+00:00,0.066558123,123.43890301437,60,619
2006-12-25 15:20:05.363000+00:00,0.05842508,123.43554291174,120,619
2006-12-25 15:22:25.134000+00:00,0.087225288,123.4257610776,IR,750
2006-12-25 15:27:37.125000+00:00,0.059938379,123.4039395568,IR,727
2006-12-25 15:29:47.131000+00:00,0.1003914,123.39485191088,IR,938
2007-12-23 09:04:54.835000+00:00,0.0010721104,42.422787484191,120,343
2007-12-23 09:06:38.835000+00:00,0.0012182962,42.416292805111,60,343
2007-03-12 22:39:25.757000+00:00,0.00066960696,54.625995832837,120,619
2007-12-23 09:10:06.833000+00:00,0.0011433725,42.403300472565,0,441
2007-12-23 09:08:22.834000+00:00,0.00089102372,42.409797154801,0,343
2007-03-29 00:28:02.048000+00:00,0.0028150668,46.860937597776,120,343
2007-03-29 00:29:14.048000+00:00,0.0029085577,46.860219383341,60,343
2007-12-23 09:11:50.832000+00:00,0.0014653106,42.396802760193,60,441
2007-12-23 09:13:34.832000+00:00,0.0014357208,42.390303956966,120,441
2007-03-29 00:30:26.047000+00:00,0.0022543205,46.859502341544,0,343
2007-03-29 00:32:01.055000+00:00,0.0034915176,46.858557931966,0,441
2007-12-23 09:15:13.839000+00:00,0.0016649228,42.384116204885,60,569
2007-03-29 00:33:45.054000+00:00,0.0045069535,46.857526471891,60,441
2007-03-29 00:35:29.053000+00:00,0.004348977,46.856497440852,120,441
2007-03-29 00:36:13.157000+00:00,0.0096734595,46.856061782118,120,569
2007-12-23 09:14:18.839000+00:00,0.0014011844,42.387553716656,120,569
2007-03-29 00:36:46.157000+00:00,0.0091395378,46.855736094467,60,569
2007-12-23 09:16:08.839000+00:00,0.0015051874,42.380678406438,0,569
2007-03-29 00:37:19.057000+00:00,0.0083439108,46.855411637426,0,569
2007-03-29 00:38:03.060000+00:00,0.0097697135,46.854978063914,0,619
2007-12-23 09:17:15.742000+00:00,0.0020279964,42.376496219884,0,619
2007-03-29 00:38:51.960000+00:00,0.010652305,46.854496749718,60,619
2007-12-23 09:18:25.741000+00:00,0.0022817131,42.372120045514,60,619
2007-12-23 09:19:35.741000+00:00,0.0021225337,42.367743345794,120,619
2007-12-23 09:27:00.806000+00:00,0.002173984,42.339905184375,IR,727
2007-12-23 09:22:25.316000+00:00,0.0023508039,42.357138875211,IR,750
2008-01-08 16:35:19.874000+00:00,0.00071485766,47.958388844702,120,343
2007-12-23 09:28:54.806000+00:00,0.0032997793,42.332771662038,IR,938
2006-07-05 01:49:44.718000+00:00,0.029693248,121.66716845751,IR,727
2006-07-05 01:51:54.725000+00:00,0.032191988,121.67496342953,IR,938
2008-01-08 16:36:36.877000+00:00,0.0014865107,47.953233167928,60,343
2008-01-08 16:38:15.884000+00:00,0.0014726195,47.946603566771,0,343
2008-01-08 16:40:29.991000+00:00,0.0022901206,47.937622448568,120,569
2008-01-08 16:41:24.995000+00:00,0.0035526636,47.933938447224,60,569
2008-01-08 16:42:19.894000+00:00,0.0034259567,47.930261249755,0,569
2008-01-08 16:43:26.802000+00:00,0.0042312248,47.925779367173,0,619
2008-01-08 16:44:36.801000+00:00,0.0039513283,47.921090069091,60,619
2009-03-31 04:00:05.645000+00:00,0.004556471,106.03598788877,60,569
2008-01-08 16:45:46.801000+00:00,0.0030559972,47.916400333662,120,619
2011-05-12 09:42:43.795000+00:00,0.1422693,11.082840079742,60,750
2009-03-31 04:00:22.644000+00:00,0.0044388222,106.03600615522,0,569
2011-05-12 09:44:01.795000+00:00,0.14687894,11.092123366823,120,750
2009-03-31 04:01:15.452000+00:00,0.0022101644,106.03606290569,120,619
2008-01-08 16:48:35.400000+00:00,0.0080520594,47.905103320096,IR,750
2011-05-16 15:59:37.970000+00:00,0.011773305,56.017886812258,0,750
2009-03-31 04:01:47.452000+00:00,0.005608133,106.03609729842,60,619
2008-01-20 14:31:57.605000+00:00,0.00040722487,57.516514875544,120,343
2011-05-16 16:00:59.477000+00:00,0.020086145,56.023951737218,60,750
2009-03-31 04:02:19.451000+00:00,0.0056000636,106.0361316929,0,619
2009-03-31 04:03:16.159000+00:00,0.0018341655,106.036192653,120,619
2011-05-16 16:02:15.976000+00:00,0.017242812,56.029642310701,120,750
2008-01-20 14:33:09.604000+00:00,0.00049386761,57.522384637473,60,343
2009-03-31 04:03:48.159000+00:00,0.0051144138,106.03622705637,60,619
2009-03-31 04:04:20.158000+00:00,0.0053725275,106.03626146146,0,619
2011-05-16 16:03:47.980000+00:00,0.015854258,56.036484073594,IR,750
2008-01-20 14:34:48.612000+00:00,0.00027330345,57.530454921203,0,343
2009-03-31 04:05:22.558000+00:00,0.0051958784,106.03632856159,120,750
2008-01-20 14:36:32.611000+00:00,0.00040419996,57.538930277933,0,441
2009-03-31 04:05:54.558000+00:00,0.0098393159,106.03636297608,60,750
2009-03-31 04:06:26.557000+00:00,0.010037879,106.03639739231,0,750
2011-12-26 08:46:59.154000+00:00,0.012170131,77.48866263876,60,750
2008-01-20 14:38:16.610000+00:00,0.00066547527,57.547403840157,60,441
2008-01-20 14:40:00.609000+00:00,0.00061414379,57.555875606978,120,441
2011-12-26 08:48:15.654000+00:00,0.015829461,77.495953242851,120,750
2009-03-31 04:07:30.557000+00:00,0.0027154423,106.03646623539,120,727
2012-01-08 01:02:25.224000+00:00,0.085228585,33.046002093623,0,750
2008-01-20 14:40:44.713000+00:00,0.00067303475,57.559467779946,120,569
2009-03-31 04:08:02.557000+00:00,0.0061770454,106.03650066114,60,727
2012-01-08 01:03:43.224000+00:00,0.088516727,33.056102363182,60,750
2008-01-20 14:41:39.713000+00:00,0.00066426222,57.563946955231,60,569
2009-03-31 04:08:34.557000+00:00,0.0066770515,106.03653508974,0,727
2012-01-08 01:05:01.223000+00:00,0.097676545,33.066201386112,120,750
2012-01-09 18:32:23.779000+00:00,0.061739929,50.421322765687,0,750
2009-03-31 04:25:46.014000+00:00,0.0006563901,106.03764634244,120,343
2012-01-09 18:33:43.279000+00:00,0.053437911,50.429575847172,60,750
2012-01-09 18:35:01.278000+00:00,0.058804475,50.437672115409,120,750
2008-01-20 14:42:34.612000+00:00,0.00053399173,57.56841740383,0,569
2009-03-31 04:26:26.014000+00:00,0.0018120647,106.03768949625,60,343
2008-01-20 14:43:41.516000+00:00,0.0008238033,57.573864747387,0,619
2009-03-31 04:27:06.013000+00:00,0.00085481227,106.03773265345,0,343
2005-03-31 11:52:08.748000+00:00,0.0044014272,56.372733349069,90,939
2008-01-20 14:44:51.515000+00:00,0.0011923,57.57956329009,60,619
2009-03-31 04:28:05.425000+00:00,0.0010742674,106.03779676461,120,441
2005-03-31 12:15:00.739000+00:00,0.0045632222,56.281755274843,90,939
2005-03-31 11:57:27.746000+00:00,0.0027483529,56.352141020025,0,939
2009-03-31 04:28:37.425000+00:00,0.0029365113,106.0378312997,60,441
2005-03-31 12:20:37.737000+00:00,0.0030759948,56.258394436773,0,939
2005-03-31 12:55:13.723000+00:00,0.0036602481,56.104247530312,0,939
2008-01-20 14:46:01.515000+00:00,0.0010253643,57.585261099243,120,619
2005-03-31 13:01:03.721000+00:00,0.0032674486,56.076319879988,0,939
2005-03-31 13:30:50.610000+00:00,0.001362426,55.92334757346,0,728
2008-01-20 14:48:49.586000+00:00,0.0009028347,57.598938291262,IR,750
2005-03-31 13:19:17.414000+00:00,0.0022576111,55.984883602194,90,728
2005-03-31 13:36:08.708000+00:00,0.0031162614,55.894090315001,0,939
2008-01-20 14:53:10.576000+00:00,0.00061397243,57.62016767133,IR,727
2008-11-15 11:41:23.863000+00:00,0.0058547803,49.861742717087,120,441
2005-03-31 13:42:03.705000+00:00,0.0030250654,55.860634790757,0,939
2005-03-31 14:17:48.692000+00:00,0.0019803992,55.637871696344,0,752
2008-11-15 11:44:41.861999,0.0028776212,49.926699782626,0,343
2005-03-31 13:53:33.701000+00:00,0.0010396614,55.793025075468,0,890
2008-11-15 11:48:41.860000+00:00,0.0035459329,50.005539516498,60,343
2008-11-15 11:52:10.859000+00:00,0.0035491069,50.074289143685,120,343
2009-03-31 03:25:46.040000+00:00,0.00078307418,106.03378056791,120,343
2005-03-31 14:29:25.587000+00:00,0.0013452836,55.556622902391,0,728
2009-03-31 03:26:26.039000+00:00,0.00082009734,106.03382332567,60,343
2010-03-05 20:36:49.721000+00:00,0.096141487,37.807238724451,60,51
2010-03-05 19:54:01.689000+00:00,0.091152392,37.213638305285,0,51
2009-03-31 03:27:06.039000+00:00,0.0021527743,106.03386608881,0,343
2010-04-24 02:55:33.141000+00:00,0.062138528,82.186044287754,0,51
2012-01-21 00:29:25.095000+00:00,0.1471269,42.698163524146,0,750
2009-03-31 03:28:05.450000,0.0013712851,106.03392961187,120,441
2010-03-05 21:21:17.702000+00:00,0.094544843,38.41572480002,120,51
2012-01-21 00:30:43.095000+00:00,0.096727364,42.702015503043,60,750
2010-04-24 02:56:35.464000+00:00,0.087576471,82.188666111648,60,51
2009-03-31 03:28:37.450000,0.0013383041,106.03396383067,60,441
2009-03-31 03:29:09.450000,0.0032429553,106.03399805226,0,441
2012-01-21 00:32:01.094000+00:00,0.1119359,42.705869142074,120,750
2010-04-24 02:57:36.408000+00:00,0.092437252,82.191231572886,120,51
2009-03-31 03:29:48.654000+00:00,0.002588171,106.03403998177,120,569
2012-01-23 00:04:23.510000+00:00,0.11001901,54.72001016659,0,750
2010-04-24 02:58:08.998000+00:00,0.043468554,82.192604130726,IR,51
2005-04-16 10:49:53.998000+00:00,0.0024526587,54.989630696284,0,890
2012-01-23 00:05:43.009000+00:00,0.11981066,54.727074710993,60,750
2009-03-31 03:30:05.657000+00:00,0.0025290193,106.03405816813,60,569
2005-04-16 10:51:44.006000+00:00,0.0011192164,54.989188468187,90,890
2010-06-13 13:04:47.418000,0.099407695,86.35239179875,IR,51
2012-01-23 00:07:01.009000+00:00,0.13142525,54.734007311112,120,750
2010-06-13 13:05:56.371000+00:00,0.10585327,86.360224364227,0,51
2005-04-16 10:57:41.976000,0.0056161974,54.98782998404,0,939
